Description	Ensembl GeneIDs
arachidonate 5-lipoxygenase	ENSMUSG00000025701
complement component 5a receptor 1	ENSMUSG00000049130
CD14 antigen	ENSMUSG00000051439
Eph receptor A4	ENSMUSG00000026235
gap junction protein, alpha 5	ENSMUSG00000057123
GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	ENSMUSG00000027523
glutamate receptor, ionotropic, AMPA2 (alpha 2)	ENSMUSG00000033981
interleukin 2 receptor, alpha chain	ENSMUSG00000026770
interleukin 5	ENSMUSG00000036117
interleukin 6 signal transducer	ENSMUSG00000021756
inositol 1,4,5-trisphosphate receptor 1	ENSMUSG00000030102
LIM homeobox protein 1	ENSMUSG00000018698
melanocortin 4 receptor	ENSMUSG00000047259
neurotrophic tyrosine kinase, receptor, type 1	ENSMUSG00000028072
parathyroid hormone-like peptide	ENSMUSG00000048776
selectin, lymphocyte	ENSMUSG00000026581
transcription factor 3	ENSMUSG00000020167
telomerase RNA component	ENSMUSG00000118406
tissue inhibitor of metalloproteinase 1	ENSMUSG00000001131
TSC complex subunit 2	ENSMUSG00000002496
twist basic helix-loop-helix transcription factor 1	ENSMUSG00000035799
secretoglobin, family 1A, member 1	ENSMUSG00000024653
wingless-type MMTV integration site family, member 4	ENSMUSG00000036856
mitogen-activated protein kinase 9	ENSMUSG00000020366
activating transcription factor 4	ENSMUSG00000042406
neurogenin 2	ENSMUSG00000027967
BCL2-antagonist/killer 1	ENSMUSG00000057789
calcium channel, voltage-dependent, L type, alpha 1C subunit	ENSMUSG00000051331
colony stimulating factor 1 receptor	ENSMUSG00000024621
cut-like homeobox 1	ENSMUSG00000029705
doublecortin	ENSMUSG00000031285
sphingosine-1-phosphate receptor 1	ENSMUSG00000045092
GLI-Kruppel family member GLI2	ENSMUSG00000048402
histocompatibility 2, D region locus 1	ENSMUSG00000073411
heat shock factor 1	ENSMUSG00000022556
inositol polyphosphate-5-phosphatase D	ENSMUSG00000026288
keratin 8	ENSMUSG00000049382
lymphocyte protein tyrosine kinase	ENSMUSG00000000409
neurotrophin 3	ENSMUSG00000049107
netrin 1	ENSMUSG00000020902
plasminogen	ENSMUSG00000059481
retinoid X receptor alpha	ENSMUSG00000015846
ryanodine receptor 1, skeletal muscle	ENSMUSG00000030592
stearoyl-Coenzyme A desaturase 1	ENSMUSG00000037071
chemokine (C-C motif) ligand 3	ENSMUSG00000000982
signal transducer and activator of transcription 5B	ENSMUSG00000020919
TEK receptor tyrosine kinase	ENSMUSG00000006386
transforming growth factor, beta 2	ENSMUSG00000039239
transforming growth factor, beta receptor I	ENSMUSG00000007613
tumor necrosis factor receptor superfamily, member 9	ENSMUSG00000028965
Parkinson disease (autosomal recessive, early onset) 7	ENSMUSG00000028964
interleukin 21	ENSMUSG00000027718
leucine-rich repeat kinase 2	ENSMUSG00000036273
transmembrane protein 163	ENSMUSG00000026347
acetylcholinesterase	ENSMUSG00000023328
actin, beta	ENSMUSG00000029580
neurogenin 3	ENSMUSG00000044312
B cell leukemia/lymphoma 6	ENSMUSG00000022508
CD38 antigen	ENSMUSG00000029084
CD3 antigen, epsilon polypeptide	ENSMUSG00000032093
cadherin 5	ENSMUSG00000031871
dickkopf WNT signaling pathway inhibitor 1	ENSMUSG00000024868
ephrin B2	ENSMUSG00000001300
fibroblast growth factor 4	ENSMUSG00000050917
FMS-like tyrosine kinase 3	ENSMUSG00000042817
GATA binding protein 2	ENSMUSG00000015053
gap junction protein, delta 2	ENSMUSG00000068615
granulin	ENSMUSG00000034708
potassium inwardly rectifying channel, subfamily J, member 11	ENSMUSG00000096146
potassium large conductance calcium-activated channel, subfamily M, alpha member 1	ENSMUSG00000063142
lipoprotein lipase	ENSMUSG00000015568
Sp7 transcription factor 7	ENSMUSG00000060284
mesenchyme homeobox 2	ENSMUSG00000036144
olfactory marker protein	ENSMUSG00000074006
ATP-binding cassette, sub-family B (MDR/TAP), member 1B	ENSMUSG00000028970
phosphate regulating endopeptidase homolog, X-linked	ENSMUSG00000057457
receptor (TNFRSF)-interacting serine-threonine kinase 1	ENSMUSG00000021408
retinal pigment epithelium 65	ENSMUSG00000028174
solute carrier family 1 (glial high affinity glutamate transporter), member 3	ENSMUSG00000005360
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	ENSMUSG00000032187
sphingomyelin phosphodiesterase 1, acid lysosomal	ENSMUSG00000037049
synaptosomal-associated protein 25	ENSMUSG00000027273
trans-acting transcription factor 1	ENSMUSG00000001280
serum response factor	ENSMUSG00000015605
syndecan 1	ENSMUSG00000020592
synaptophysin	ENSMUSG00000031144
thymus cell antigen 1, theta	ENSMUSG00000032011
ubiquitin carboxy-terminal hydrolase L1	ENSMUSG00000029223
nuclear receptor subfamily 1, group H, member 2	ENSMUSG00000060601
insulin receptor substrate 2	ENSMUSG00000038894
dynamin 1-like	ENSMUSG00000022789
hepcidin antimicrobial peptide	ENSMUSG00000050440
angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	ENSMUSG00000020681
cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	ENSMUSG00000027950
alkaline phosphatase, liver/bone/kidney	ENSMUSG00000028766
aquaporin 1	ENSMUSG00000004655
ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	ENSMUSG00000029467
ATPase, Cu++ transporting, alpha polypeptide	ENSMUSG00000033792
cyclin D2	ENSMUSG00000000184
cyclin-dependent kinase 2	ENSMUSG00000025358
cyclin dependent kinase 4	ENSMUSG00000006728
cyclin-dependent kinase inhibitor 1C (P57)	ENSMUSG00000037664
corticotropin releasing hormone receptor 1	ENSMUSG00000018634
endothelin receptor type B	ENSMUSG00000022122
erb-b2 receptor tyrosine kinase 4	ENSMUSG00000062209
growth associated protein 43	ENSMUSG00000047261
glutathione peroxidase 1	ENSMUSG00000063856
glutamate receptor, metabotropic 1	ENSMUSG00000019828
histone deacetylase 3	ENSMUSG00000024454
interleukin 3	ENSMUSG00000018914
myosin binding protein C, cardiac	ENSMUSG00000002100
myosin, light polypeptide 2, regulatory, cardiac, slow	ENSMUSG00000013936
myosin VA	ENSMUSG00000034593
notch 3	ENSMUSG00000038146
nuclear receptor subfamily 4, group A, member 2	ENSMUSG00000026826
platelet derived growth factor, B polypeptide	ENSMUSG00000000489
phospholipase A2, group IVA (cytosolic, calcium-dependent)	ENSMUSG00000056220
snail family zinc finger 1	ENSMUSG00000042821
tachykinin receptor 1	ENSMUSG00000030043
transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	ENSMUSG00000037321
tet methylcytosine dioxygenase 2	ENSMUSG00000040943
tyrosinase-related protein 1	ENSMUSG00000005994
TAR DNA binding protein	ENSMUSG00000041459
5' nucleotidase, ecto	ENSMUSG00000032420
neurofilament, heavy polypeptide	ENSMUSG00000020396
beclin 1, autophagy related	ENSMUSG00000035086
fibroblast growth factor 23	ENSMUSG00000000182
triggering receptor expressed on myeloid cells 2	ENSMUSG00000023992
v-raf-leukemia viral oncogene 1	ENSMUSG00000000441
agouti related neuropeptide	ENSMUSG00000005705
arachidonate 15-lipoxygenase	ENSMUSG00000018924
arginase, liver	ENSMUSG00000019987
activating transcription factor 3	ENSMUSG00000026628
neurogenic differentiation 6	ENSMUSG00000037984
BH3 interacting domain death agonist	ENSMUSG00000004446
cystathionine beta-synthase	ENSMUSG00000024039
conserved helix-loop-helix ubiquitous kinase	ENSMUSG00000025199
Eph receptor B2	ENSMUSG00000028664
coagulation factor II (thrombin) receptor	ENSMUSG00000048376
FMS-like tyrosine kinase 4	ENSMUSG00000020357
guanine nucleotide binding protein, alpha q polypeptide	ENSMUSG00000024639
podoplanin	ENSMUSG00000028583
hypocretin	ENSMUSG00000045471
histone deacetylase 2	ENSMUSG00000019777
histidine decarboxylase	ENSMUSG00000027360
inhibitor of DNA binding 1, HLH protein	ENSMUSG00000042745
CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	ENSMUSG00000024610
interferon regulatory factor 4	ENSMUSG00000021356
integrin alpha 4	ENSMUSG00000027009
CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	ENSMUSG00000055447
lectin, galactose binding, soluble 1	ENSMUSG00000068220
annexin A1	ENSMUSG00000024659
myeloid cell leukemia sequence 1	ENSMUSG00000038612
neurofilament, light polypeptide	ENSMUSG00000022055
nodal	ENSMUSG00000037171
POU domain, class 1, transcription factor 1	ENSMUSG00000004842
protein kinase C, zeta	ENSMUSG00000029053
POU domain, class 4, transcription factor 1	ENSMUSG00000048349
eukaryotic translation initiation factor 2-alpha kinase 2	ENSMUSG00000024079
prostaglandin E receptor 2 (subtype EP2)	ENSMUSG00000037759
dual specificity phosphatase 1	ENSMUSG00000024190
aldehyde dehydrogenase family 1, subfamily A2	ENSMUSG00000013584
reticuloendotheliosis oncogene	ENSMUSG00000020275
S100 protein, beta polypeptide, neural	ENSMUSG00000033208
sodium channel, voltage-gated, type VIII, alpha	ENSMUSG00000023033
sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	ENSMUSG00000028883
telomerase reverse transcriptase	ENSMUSG00000021611
transforming growth factor alpha	ENSMUSG00000029999
retinoic acid receptor, beta	ENSMUSG00000017491
von Hippel-Lindau tumor suppressor	ENSMUSG00000033933
IKAROS family zinc finger 1	ENSMUSG00000018654
mitochondrial antiviral signaling protein	ENSMUSG00000037523
NADPH oxidase 1	ENSMUSG00000031257
tumor necrosis factor (ligand) superfamily, member 13b	ENSMUSG00000031497
E1A binding protein p300	ENSMUSG00000055024
periostin, osteoblast specific factor	ENSMUSG00000027750
pannexin 1	ENSMUSG00000031934
C-type lectin domain family 7, member a	ENSMUSG00000079293
prostaglandin E synthase	ENSMUSG00000050737
insulin related protein 2 (islet 2)	ENSMUSG00000032318
Nos2 promoter region	
baculoviral IAP repeat-containing 5	ENSMUSG00000017716
chondroitin sulfate proteoglycan 4	ENSMUSG00000032911
visual system homeobox 2	ENSMUSG00000021239
2',3'-cyclic nucleotide 3' phosphodiesterase	ENSMUSG00000006782
CCCTC-binding factor	ENSMUSG00000005698
cathepsin K	ENSMUSG00000028111
delta like non-canonical Notch ligand 1	ENSMUSG00000040856
distal-less homeobox 2	ENSMUSG00000023391
dipeptidylpeptidase 4	ENSMUSG00000035000
dopamine receptor D3	ENSMUSG00000022705
eukaryotic translation initiation factor 2 alpha kinase 3	ENSMUSG00000031668
epoxide hydrolase 2, cytoplasmic	ENSMUSG00000022040
interleukin 17 receptor A	ENSMUSG00000002897
integrin alpha V	ENSMUSG00000027087
SMAD family member 7	ENSMUSG00000025880
myosin VIIA	ENSMUSG00000030761
nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2	ENSMUSG00000027544
nuclear receptor subfamily 1, group I, member 2	ENSMUSG00000022809
oxytocin	ENSMUSG00000027301
3-phosphoinositide dependent protein kinase 1	ENSMUSG00000024122
protein kinase C, theta	ENSMUSG00000026778
peripheral myelin protein 22	ENSMUSG00000018217
prostaglandin E receptor 4 (subtype EP4)	ENSMUSG00000039942
Rho-associated coiled-coil containing protein kinase 1	ENSMUSG00000024290
sodium channel, nonvoltage-gated 1 alpha	ENSMUSG00000030340
chemokine (C-C motif) ligand 5	ENSMUSG00000035042
serum/glucocorticoid regulated kinase 1	ENSMUSG00000019970
transcription factor AP-2, alpha	ENSMUSG00000021359
troponin T2, cardiac	ENSMUSG00000026414
ubiquitin protein ligase E3A	ENSMUSG00000025326
utrophin	ENSMUSG00000019820
killer cell lectin-like receptor subfamily K, member 1	ENSMUSG00000030149
KiSS-1 metastasis-suppressor	ENSMUSG00000116158
microRNA 146	ENSMUSG00000065601
toll-like receptor 5	ENSMUSG00000079164
inducible T cell co-stimulator	ENSMUSG00000026009
delta like canonical Notch ligand 4	ENSMUSG00000027314
PTEN induced putative kinase 1	ENSMUSG00000028756
ribosomal protein S6 kinase, polypeptide 1	ENSMUSG00000020516
glucuronidase, beta	ENSMUSG00000025534
keratin 5	ENSMUSG00000061527
lymphatic vessel endothelial hyaluronan receptor 1	ENSMUSG00000030787
amelogenin, X-linked	ENSMUSG00000031354
anti-Mullerian hormone	ENSMUSG00000035262
bradykinin receptor, beta 2	ENSMUSG00000021070
complement component 1, q subcomponent, alpha polypeptide	ENSMUSG00000036887
calcium channel, voltage-dependent, L type, alpha 1D subunit	ENSMUSG00000015968
calreticulin	ENSMUSG00000003814
nuclear receptor subfamily 1, group I, member 3	ENSMUSG00000005677
runt related transcription factor 3	ENSMUSG00000070691
Casitas B-lineage lymphoma	ENSMUSG00000034342
cholecystokinin	ENSMUSG00000032532
cathepsin B	ENSMUSG00000021939
cathepsin L	ENSMUSG00000021477
dystroglycan 1	ENSMUSG00000039952
distal-less homeobox 5	ENSMUSG00000029755
DNA methyltransferase 3B	ENSMUSG00000027478
coagulation factor III	ENSMUSG00000028128
Fc receptor, IgG, low affinity III	ENSMUSG00000059498
GATA binding protein 6	ENSMUSG00000005836
gap junction protein, beta 1	ENSMUSG00000047797
chemokine (C-X-C motif) ligand 1	ENSMUSG00000029380
granzyme B	ENSMUSG00000015437
heart and neural crest derivatives expressed 2	ENSMUSG00000038193
hemoglobin alpha chain complex	
histone deacetylase 6	ENSMUSG00000031161
homeostatic iron regulator	ENSMUSG00000006611
laminin, alpha 1	ENSMUSG00000032796
lysosomal trafficking regulator	ENSMUSG00000019726
matrix metallopeptidase 14 (membrane-inserted)	ENSMUSG00000000957
nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	ENSMUSG00000021025
v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived	ENSMUSG00000037169
protein kinase C, beta	ENSMUSG00000052889
prolactin	ENSMUSG00000021342
renin 1 structural	ENSMUSG00000070645
S100 calcium binding protein A9 (calgranulin B)	ENSMUSG00000056071
surfactant associated protein A1	ENSMUSG00000021789
solute carrier family 12, member 2	ENSMUSG00000024597
superoxide dismutase 3, extracellular	ENSMUSG00000072941
stromal interaction molecule 1	ENSMUSG00000030987
transgelin	ENSMUSG00000032085
transforming growth factor, beta 3	ENSMUSG00000021253
tumor necrosis factor (ligand) superfamily, member 10	ENSMUSG00000039304
transthyretin	ENSMUSG00000061808
vav 1 oncogene	ENSMUSG00000034116
apolipoprotein B	ENSMUSG00000020609
E26 avian leukemia oncogene 1, 5' domain	ENSMUSG00000032035
immunoglobulin kappa chain complex	
interleukin 27	ENSMUSG00000044701
opsin 4 (melanopsin)	ENSMUSG00000021799
sirtuin 6	ENSMUSG00000034748
kelch-like ECH-associated protein 1	ENSMUSG00000003308
SMAD family member 9	ENSMUSG00000027796
regulatory associated protein of MTOR, complex 1	ENSMUSG00000025583
RPTOR independent companion of MTOR, complex 2	ENSMUSG00000050310
anoctamin 1, calcium activated chloride channel	ENSMUSG00000031075
peptidylprolyl isomerase F (cyclophilin F)	ENSMUSG00000021868
glutamate receptor, metabotropic 7	ENSMUSG00000056755
lymphocyte antigen 6 complex, locus A	ENSMUSG00000075602
nuclear receptor subfamily 3, group C, member 2	ENSMUSG00000031618
a disintegrin and metallopeptidase domain 10	ENSMUSG00000054693
alpha fetoprotein	ENSMUSG00000054932
aggrecan	ENSMUSG00000030607
albumin	ENSMUSG00000029368
aldehyde dehydrogenase 2, mitochondrial	ENSMUSG00000029455
fatty acid binding protein 7, brain	ENSMUSG00000019874
catalase	ENSMUSG00000027187
caspase 4, apoptosis-related cysteine peptidase	ENSMUSG00000033538
cryptochrome 1 (photolyase-like)	ENSMUSG00000020038
colony stimulating factor 3 (granulocyte)	ENSMUSG00000038067
cytochrome P450, family 2, subfamily e, polypeptide 1	ENSMUSG00000025479
disabled 1	ENSMUSG00000028519
endoglin	ENSMUSG00000026814
fibroblast growth factor 14	ENSMUSG00000025551
gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1	ENSMUSG00000010803
guanine nucleotide binding protein (G protein), alpha inhibiting 2	ENSMUSG00000032562
hydroxysteroid 11-beta dehydrogenase 1	ENSMUSG00000016194
interleukin 1 receptor antagonist	ENSMUSG00000026981
integrin linked kinase	ENSMUSG00000030890
integrin alpha 6	ENSMUSG00000027111
LIM homeobox protein 2	ENSMUSG00000000247
multiple endocrine neoplasia 1	ENSMUSG00000024947
MER proto-oncogene tyrosine kinase	ENSMUSG00000014361
milk fat globule EGF and factor V/VIII domain containing	ENSMUSG00000030605
mutS homolog 2	ENSMUSG00000024151
metallothionein 2	ENSMUSG00000031762
mucin 1, transmembrane	ENSMUSG00000042784
NK6 homeobox 1	ENSMUSG00000035187
natriuretic peptide receptor 1	ENSMUSG00000027931
8-oxoguanine DNA-glycosylase 1	ENSMUSG00000030271
opioid receptor, delta 1	ENSMUSG00000050511
sigma non-opioid intracellular receptor 1	ENSMUSG00000036078
protein kinase C, gamma	ENSMUSG00000078816
polycystin 2, transient receptor potential cation channel	ENSMUSG00000034462
plasminogen activator, urokinase receptor	ENSMUSG00000046223
peripherin 2	ENSMUSG00000023978
parathyroid hormone 1 receptor	ENSMUSG00000032492
signal-regulatory protein alpha	ENSMUSG00000037902
quaking, KH domain containing RNA binding	ENSMUSG00000062078
avian reticuloendotheliosis viral (v-rel) oncogene related B	ENSMUSG00000002983
S100 calcium binding protein A4	ENSMUSG00000001020
selectin, endothelial cell	ENSMUSG00000026582
surfactant associated protein D	ENSMUSG00000021795
growth hormone secretagogue receptor	ENSMUSG00000051136
T cell acute lymphocytic leukemia 1	ENSMUSG00000028717
T-box 1	ENSMUSG00000009097
T-box 5	ENSMUSG00000018263
tumor necrosis factor, alpha-induced protein 3	ENSMUSG00000019850
ATP binding cassette subfamily G member 2 (Junior blood group)	ENSMUSG00000029802
mitogen-activated protein kinase kinase kinase 5	ENSMUSG00000071369
mitogen-activated protein kinase kinase kinase 14	ENSMUSG00000020941
thioredoxin interacting protein	ENSMUSG00000038393
sclerostin	ENSMUSG00000001494
forkhead box P2	ENSMUSG00000029563
adenosine A2b receptor	ENSMUSG00000018500
adrenergic receptor, beta 1	ENSMUSG00000035283
angiopoietin 1	ENSMUSG00000022309
fatty acid binding protein 4, adipocyte	ENSMUSG00000062515
aryl hydrocarbon receptor nuclear translocator	ENSMUSG00000015522
bone gamma carboxyglutamate protein	ENSMUSG00000074483
class II transactivator	ENSMUSG00000022504
calcium-sensing receptor	ENSMUSG00000051980
CD34 antigen	ENSMUSG00000016494
clusterin	ENSMUSG00000022037
complement receptor 2	ENSMUSG00000026616
crystallin, alpha B	ENSMUSG00000032060
decorin	ENSMUSG00000019929
DEAD box helicase 4	ENSMUSG00000021758
ectodysplasin-A	ENSMUSG00000059327
engrailed 2	ENSMUSG00000039095
coagulation factor VIII	ENSMUSG00000031196
fibroblast growth factor 3	ENSMUSG00000031074
FMS-like tyrosine kinase 3 ligand	ENSMUSG00000110206
galactosylceramidase	ENSMUSG00000021003
