	Description	Ensembl GeneIDs
584	integrin subunit alpha 2	ENSG00000164171
585	nerve growth factor	ENSG00000134259
586	nitric oxide synthase 1	ENSG00000089250
587	neurotrophic receptor tyrosine kinase 1	ENSG00000198400
588	sclerostin	ENSG00000167941
589	plasminogen activator, tissue type	ENSG00000104368
590	eukaryotic translation initiation factor 2 alpha kinase 2	ENSG00000055332
591	retinoid X receptor alpha	ENSG00000186350
592	ryanodine receptor 1	ENSG00000196218
593	sterol regulatory element binding transcription factor 1	ENSG00000072310
594	titin	ENSG00000155657
595	YY1 transcription factor	ENSG00000100811
596	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	ENSG00000164924
597	nuclear receptor subfamily 1 group I member 2	ENSG00000144852
598	adenosine deaminase RNA specific	ENSG00000160710
599	cholinergic receptor nicotinic alpha 7 subunit	ENSG00000175344
600	cytochrome b-245 beta chain	ENSG00000165168
601	cytochrome P450 family 2 subfamily A member 6	ENSG00000255974
602	EPH receptor A2	ENSG00000142627
603	glucagon	ENSG00000115263
604	glutathione peroxidase 1	ENSG00000233276
605	annexin A1	ENSG00000135046
606	isocitrate dehydrogenase (NADP(+)) 2	ENSG00000182054
607	interleukin 12A	ENSG00000168811
608	interferon regulatory factor 3	ENSG00000126456
609	integrin subunit alpha 5	ENSG00000161638
610	menin 1	ENSG00000133895
611	NME/NM23 nucleoside diphosphate kinase 1	ENSG00000239672
612	neuropeptide Y	ENSG00000122585
613	tet methylcytosine dioxygenase 2	ENSG00000168769
614	AXL receptor tyrosine kinase	ENSG00000167601
615	protein tyrosine phosphatase non-receptor type 1	ENSG00000196396
616	protein tyrosine phosphatase non-receptor type 6	ENSG00000111679
617	actin beta	ENSG00000075624
618	survival of motor neuron 1, telomeric	ENSG00000172062
619	transforming growth factor beta induced	ENSG00000120708
620	neuropilin 1	ENSG00000099250
621	CASP8 and FADD like apoptosis regulator	ENSG00000003402
622	CD28 molecule	ENSG00000178562
623	scavenger receptor class B member 1	ENSG00000073060
624	cyclin dependent kinase inhibitor 2B	ENSG00000147883
625	CCCTC-binding factor	ENSG00000102974
626	collagen type I alpha 2 chain	ENSG00000164692
627	crystallin alpha B	ENSG00000109846
628	cytochrome b-245 alpha chain	ENSG00000051523
629	epoxide hydrolase 1	ENSG00000143819
630	coagulation factor IX	ENSG00000101981
631	fatty acid synthase	ENSG00000169710
632	lysine demethylase 1A	ENSG00000004487
633	X-ray repair cross complementing 6	ENSG00000196419
634	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ENSG00000175164
635	hemoglobin subunit alpha 2	ENSG00000188536
636	aquaporin 1 (Colton blood group)	ENSG00000240583
637	L1 cell adhesion molecule	ENSG00000198910
638	mutY DNA glycosylase	ENSG00000132781
639	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor	ENSG00000186575
640	nerve growth factor receptor	ENSG00000064300
641	NADPH oxidase 4	ENSG00000086991
642	toll like receptor 7	ENSG00000196664
643	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	ENSG00000105851
644	mitogen-activated protein kinase kinase 1	ENSG00000169032
645	prolactin	ENSG00000172179
646	thrombomodulin	ENSG00000178726
647	NK2 homeobox 1	ENSG00000136352
648	DNA topoisomerase I	ENSG00000198900
649	ubiquitin conjugating enzyme E2 I	ENSG00000103275
650	WRN RecQ like helicase	ENSG00000165392
651	caspase 9	ENSG00000132906
653	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	ENSG00000269335
654	cyclin B1	ENSG00000134057
655	metadherin	ENSG00000147649
656	kelch like ECH associated protein 1	ENSG00000079999
657	histone deacetylase 6	ENSG00000094631
658	CD24 molecule	ENSG00000272398
659	IKAROS family zinc finger 1	ENSG00000185811
661	erb-b2 receptor tyrosine kinase 4	ENSG00000178568
662	fatty acid binding protein 4	ENSG00000170323
663	bromodomain containing 4	ENSG00000141867
664	glyceraldehyde-3-phosphate dehydrogenase	ENSG00000111640
665	nuclear paraspeckle assembly transcript 1	ENSG00000245532
666	G protein-coupled estrogen receptor 1	ENSG00000164850
667	mutS homolog 6	ENSG00000116062
668	C-X-C motif chemokine receptor 2	ENSG00000180871
669	microRNA 221	ENSG00000207870
671	microRNA 29a	ENSG00000284032
672	melanocyte inducing transcription factor	ENSG00000187098
673	5-methyltetrahydrofolate-homocysteine methyltransferase	ENSG00000116984
674	mucin 5AC, oligomeric mucus/gel-forming	ENSG00000215182
675	serpin family C member 1	ENSG00000117601
676	nucleolin	ENSG00000115053
677	neurotrophic receptor tyrosine kinase 2	ENSG00000148053
678	polycystin 1, transient receptor potential channel interacting	ENSG00000008710
679	peroxisome proliferator activated receptor delta	ENSG00000112033
680	protein kinase C beta	ENSG00000166501
681	protein tyrosine phosphatase receptor type C	ENSG00000081237
682	retinoic acid receptor alpha	ENSG00000131759
683	S100 calcium binding protein A8	ENSG00000143546
684	bone marrow stromal cell antigen 2	ENSG00000130303
685	Bruton tyrosine kinase	ENSG00000010671
686	ubiquitin C-terminal hydrolase L1	ENSG00000154277
687	zeta chain of T cell receptor associated protein kinase 70	ENSG00000115085
688	BRCA1 associated protein 1	ENSG00000163930
689	thymic stromal lymphopoietin	ENSG00000145777
690	TNF receptor superfamily member 10b	ENSG00000120889
691	cadherin 2	ENSG00000170558
692	ADAM metallopeptidase domain 10	ENSG00000137845
693	STIP1 homology and U-box containing protein 1	ENSG00000103266
694	chromogranin A	ENSG00000100604
695	component of inhibitor of nuclear factor kappa B kinase complex	ENSG00000213341
696	tryptophan hydroxylase 2	ENSG00000139287
697	ATP binding cassette subfamily C member 2	ENSG00000023839
698	cathepsin B	ENSG00000164733
699	C-X3-C motif chemokine receptor 1	ENSG00000168329
700	elastase, neutrophil expressed	ENSG00000197561
701	elastin	ENSG00000049540
702	coagulation factor X	ENSG00000126218
703	fibrinogen gamma chain	ENSG00000171557
704	arachidonate 5-lipoxygenase	ENSG00000012779
705	interleukin 27	ENSG00000197272
706	argonaute RISC catalytic component 2	ENSG00000123908
707	galactosidase alpha	ENSG00000102393
708	glycoprotein Ib platelet subunit alpha	ENSG00000185245
709	granzyme B	ENSG00000100453
710	interleukin 7 receptor	ENSG00000168685
711	KiSS-1 metastasis suppressor	ENSG00000170498
712	matrix metallopeptidase 13	ENSG00000137745
713	myosin heavy chain 7	ENSG00000092054
714	platelet derived growth factor subunit B	ENSG00000100311
715	platelet and endothelial cell adhesion molecule 1	ENSG00000261371
716	ribosomal protein S6 kinase B1	ENSG00000108443
717	serum amyloid A1	ENSG00000173432
718	bone gamma-carboxyglutamate protein	ENSG00000242252
719	C-X3-C motif chemokine ligand 1	ENSG00000006210
720	snail family transcriptional repressor 2	ENSG00000019549
721	signal transducer and activator of transcription 6	ENSG00000166888
722	TIMP metallopeptidase inhibitor 3	ENSG00000100234
723	X-ray repair cross complementing 5	ENSG00000079246
724	CD163 molecule	ENSG00000177575
725	CD38 molecule	ENSG00000004468
726	dynamin 1 like	ENSG00000087470
727	nestin	ENSG00000132688
729	cathepsin D	ENSG00000117984
730	alkaline phosphatase, biomineralization associated	ENSG00000162551
731	glial fibrillary acidic protein	ENSG00000131095
732	glucagon like peptide 1 receptor	ENSG00000112164
733	tenascin C	ENSG00000041982
734	interferon regulatory factor 1	ENSG00000125347
736	microRNA 200c	ENSG00000207713
738	MYB proto-oncogene, transcription factor	ENSG00000118513
739	myocilin	ENSG00000034971
740	OPA1 mitochondrial dynamin like GTPase	ENSG00000198836
741	RNA polymerase II subunit A	ENSG00000181222
742	proopiomelanocortin	ENSG00000115138
743	patched 1	ENSG00000185920
744	signal transducer and activator of transcription 5A	ENSG00000126561
745	transforming growth factor beta 2	ENSG00000092969
746	nuclear receptor coactivator 3	ENSG00000124151
747	apolipoprotein L1	ENSG00000100342
748	apelin	ENSG00000171388
749	sphingosine kinase 1	ENSG00000176170
750	CDKN2B antisense RNA 1	ENSG00000240498
751	cyclin dependent kinase 5	ENSG00000164885
752	cyclin dependent kinase 9	ENSG00000136807
753	CEA cell adhesion molecule 5	ENSG00000105388
754	podoplanin	ENSG00000162493
755	jagged canonical Notch ligand 1	ENSG00000101384
756	sirtuin 3	ENSG00000142082
757	WW domain containing transcription regulator 1	ENSG00000018408
758	DISC1 scaffold protein	ENSG00000162946
759	C-X-C motif chemokine receptor 3	ENSG00000186810
760	glutamate ionotropic receptor NMDA type subunit 2B	ENSG00000273079
761	major histocompatibility complex, class I, E	ENSG00000204592
762	high mobility group AT-hook 1	ENSG00000137309
763	hydroxysteroid 11-beta dehydrogenase 1	ENSG00000117594
764	interferon alpha 1	ENSG00000197919
765	insulin like growth factor binding protein 1	ENSG00000146678
766	cellular communication network factor 1	ENSG00000142871
767	interleukin 7	ENSG00000104432
768	integrin linked kinase	ENSG00000166333
769	integrin subunit alpha M	ENSG00000169896
770	Janus kinase 1	ENSG00000162434
771	keratin 19	ENSG00000171345
772	stathmin 1	ENSG00000117632
773	microRNA 203a	ENSG00000207568
774	microRNA 223	ENSG00000284567
775	SMAD family member 7	ENSG00000101665
776	natriuretic peptide A	ENSG00000175206
777	pappalysin 1	ENSG00000182752
778	interleukin 23 subunit alpha	ENSG00000110944
779	WW domain containing oxidoreductase	ENSG00000186153
780	serpin family B member 5	ENSG00000206075
781	phospholipase C gamma 1	ENSG00000124181
782	HtrA serine peptidase 1	ENSG00000166033
783	butyrylcholinesterase	ENSG00000114200
784	CEA cell adhesion molecule 1	ENSG00000079385
785	bone morphogenetic protein receptor type 2	ENSG00000204217
786	HNF1 homeobox B	ENSG00000275410
787	TNF receptor associated factor 2	ENSG00000127191
788	calcium voltage-gated channel subunit alpha1 A	ENSG00000141837
789	Nanog homeobox	ENSG00000111704
790	AT-rich interaction domain 1A	ENSG00000117713
791	receptor interacting serine/threonine kinase 1	ENSG00000137275
792	cyclin dependent kinase 6	ENSG00000105810
793	receptor for activated C kinase 1	ENSG00000204628
794	insulin like growth factor 2 mRNA binding protein 3	ENSG00000136231
795	C-C motif chemokine receptor 7	ENSG00000126353
796	complement C3b/C4b receptor 1 (Knops blood group)	ENSG00000203710
797	corticotropin releasing hormone receptor 1	ENSG00000120088
798	colony stimulating factor 2	ENSG00000164400
799	defensin beta 4A	ENSG00000171711
800	EWS RNA binding protein 1	ENSG00000182944
801	gap junction protein beta 1	ENSG00000169562
802	angiopoietin 1	ENSG00000154188
803	TANK binding kinase 1	ENSG00000183735
804	gelsolin	ENSG00000148180
805	forkhead box A1	ENSG00000129514
806	5-hydroxytryptamine receptor 2C	ENSG00000147246
807	inhibitor of DNA binding 1	ENSG00000125968
808	apolipoprotein H	ENSG00000091583
809	lipase C, hepatic type	ENSG00000166035
810	LYN proto-oncogene, Src family tyrosine kinase	ENSG00000254087
811	nuclear receptor subfamily 3 group C member 2	ENSG00000151623
812	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	ENSG00000124275
813	triggering receptor expressed on myeloid cells 2	ENSG00000095970
814	activation induced cytidine deaminase	ENSG00000111732
815	transient receptor potential cation channel subfamily V member 4	ENSG00000111199
816	surfactant protein D	ENSG00000133661
817	steroid 5 alpha-reductase 2	ENSG00000277893
818	ATP binding cassette subfamily C member 8	ENSG00000006071
819	histone deacetylase 3	ENSG00000171720
820	adenosine deaminase	ENSG00000196839
821	nuclear receptor subfamily 1 group H member 3	ENSG00000025434
822	collagen type III alpha 1 chain	ENSG00000168542
823	carboxypeptidase B2	ENSG00000080618
824	dopamine receptor D1	ENSG00000184845
825	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	ENSG00000101347
826	GATA binding protein 1	ENSG00000102145
827	GATA binding protein 4	ENSG00000136574
828	gamma-glutamyltransferase 1	ENSG00000100031
829	glypican 3	ENSG00000147257
830	G protein subunit alpha q	ENSG00000156052
831	insulin like growth factor binding protein 2	ENSG00000115457
832	inhibin subunit beta A	ENSG00000122641
833	interferon regulatory factor 5	ENSG00000128604
834	keratin 18	ENSG00000111057
835	luteinizing hormone/choriogonadotropin receptor	ENSG00000138039
836	LDL receptor related protein 5	ENSG00000162337
838	myosin binding protein C3	ENSG00000134571
839	ectonucleotide pyrophosphatase/phosphodiesterase 1	ENSG00000197594
840	maternally expressed 3	ENSG00000214548
841	protein kinase C epsilon	ENSG00000171132
842	protein kinase C zeta	ENSG00000067606
843	actin alpha 1, skeletal muscle	ENSG00000143632
844	renin	ENSG00000143839
845	rhodopsin	ENSG00000163914
846	interferon induced with helicase C domain 1	ENSG00000115267
847	bone morphogenetic protein 7	ENSG00000101144
848	solute carrier family 19 member 1	ENSG00000173638
849	serine peptidase inhibitor Kazal type 1	ENSG00000164266
850	mitogen-activated protein kinase kinase kinase 7	ENSG00000135341
851	TATA-box binding protein	ENSG00000112592
852	thyroid hormone receptor beta	ENSG00000151090
853	tumor protein p53 binding protein 1	ENSG00000067369
854	ubiquitin conjugating enzyme E2 D1	ENSG00000072401
855	X-box binding protein 1	ENSG00000100219
856	cullin 1	ENSG00000055130
857	beta-transducin repeat containing E3 ubiquitin protein ligase	ENSG00000166167
858	PTTG1 regulator of sister chromatid separation, securin	ENSG00000164611
859	clock circadian regulator	ENSG00000134852
860	mitofusin 2	ENSG00000116688
861	N-myc downstream regulated 1	ENSG00000104419
862	WAP four-disulfide core domain 2	ENSG00000101443
864	cannabinoid receptor 2	ENSG00000188822
865	dihydropyrimidine dehydrogenase	ENSG00000188641
866	alpha-2-macroglobulin	ENSG00000175899
867	cortactin	ENSG00000085733
868	erythropoietin receptor	ENSG00000187266
869	AKT serine/threonine kinase 2	ENSG00000105221
870	coagulation factor XI	ENSG00000088926
871	nuclear receptor subfamily 5 group A member 1	ENSG00000136931
872	programmed cell death 4	ENSG00000150593
873	heterogeneous nuclear ribonucleoprotein A1	ENSG00000135486
874	autoimmune regulator	ENSG00000160224
875	5'-nucleotidase ecto	ENSG00000135318
876	phosphatidylethanolamine binding protein 1	ENSG00000089220
877	furin, paired basic amino acid cleaving enzyme	ENSG00000140564
878	angiopoietin like 4	ENSG00000167772
879	Pim-1 proto-oncogene, serine/threonine kinase	ENSG00000137193
880	peripheral myelin protein 22	ENSG00000109099
881	ATRX chromatin remodeler	ENSG00000085224
882	protein phosphatase 2 catalytic subunit alpha	ENSG00000113575
883	prostaglandin-endoperoxide synthase 1	ENSG00000095303
884	parathyroid hormone like hormone	ENSG00000087494
885	RAN, member RAS oncogene family	ENSG00000132341
886	replication protein A1	ENSG00000132383
887	BLM RecQ like helicase	ENSG00000197299
888	signal transducer and activator of transcription 4	ENSG00000138378
889	tissue factor pathway inhibitor	ENSG00000003436
890	caspase 1	ENSG00000137752
891	lysine acetyltransferase 2B	ENSG00000114166
892	metastasis associated 1	ENSG00000182979
893	apoptosis inducing factor mitochondria associated 1	ENSG00000156709
894	TNF receptor superfamily member 8	ENSG00000120949
895	zinc finger E-box binding homeobox 2	ENSG00000169554
896	nuclear receptor subfamily 1 group H member 4	ENSG00000012504
897	protein arginine methyltransferase 5	ENSG00000100462
898	collagen type VII alpha 1 chain	ENSG00000114270
899	colony stimulating factor 1	ENSG00000184371
900	CYLD lysine 63 deubiquitinase	ENSG00000083799
901	CD55 molecule (Cromer blood group)	ENSG00000196352
902	ERCC excision repair 5, endonuclease	ENSG00000134899
903	ETS variant transcription factor 6	ENSG00000139083
904	protein tyrosine kinase 2 beta	ENSG00000120899
905	GATA binding protein 2	ENSG00000179348
906	GTP cyclohydrolase 1	ENSG00000131979
907	hepatitis A virus cellular receptor 1	ENSG00000113249
908	interleukin 37	ENSG00000125571
909	annexin A5	ENSG00000164111
910	karyopherin subunit alpha 2	ENSG00000182481
912	arrestin beta 2	ENSG00000141480
913	KIT ligand	ENSG00000049130
914	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	ENSG00000174437
915	sirtuin 6	ENSG00000077463
916	phospholipase A2 group IIA	ENSG00000188257
917	triggering receptor expressed on myeloid cells 1	ENSG00000124731
918	DNA polymerase beta	ENSG00000070501
919	intelectin 1	ENSG00000179914
920	protein S	ENSG00000184500
921	BCL2 antagonist/killer 1	ENSG00000030110
922	paxillin	ENSG00000089159
923	ryanodine receptor 2	ENSG00000198626
924	solute carrier family 9 member A1	ENSG00000090020
925	forkhead box L2	ENSG00000183770
926	signal transducer and activator of transcription 5B	ENSG00000173757
927	transcription factor 4	ENSG00000196628
928	TEK receptor tyrosine kinase	ENSG00000120156
929	tyrosine hydroxylase	ENSG00000180176
